chembl_id,IC50_nM_geomean,n_replicates,smiles
CHEMBL458547,68.00000000000001,1,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3c(C)nc(C)n3C)n2)cc1
CHEMBL458548,295.0000000000001,1,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN(C)C)cc3)n2)n1C
CHEMBL458926,1500.0,1,CC(C)Nc1cc(Cl)nc2c(C#N)cnn12
CHEMBL4592358,1270.0000000000002,1,CC(C)C/C=N/c1c(C#N)c2n(c1C(=O)Nc1ccc(Br)cc1)CCC2
CHEMBL460087,2.0,1,CN[C@H]1CCN(C(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)C1
CHEMBL460102,2.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@H](N(C)C)C4)cc3)ncc2F)n1C(C)C
CHEMBL460103,6.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@@H](N(C)C)C4)cc3)ncc2F)n1C(C)C
CHEMBL460746,699.9999999999998,1,O=C(NC(=S)Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccc([N+](=O)[O-])cc1
CHEMBL461140,8199.999999999998,1,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1
CHEMBL46181,2980.000000000001,1,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(N4CCN(C)CC4)cc2)C3=O)CC1
CHEMBL462192,2.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3)ncc2F)n1C(C)C
CHEMBL462385,2.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C
CHEMBL4632815,3170.0000000000027,1,C=CC(=O)Nc1ccc(C(=O)N2CCC[C@@H](Nc3ncc(CNCc4ncc(C(C)(C)C)o4)s3)C2)cc1
CHEMBL463579,90.0,1,O=C(Nc1ccc(F)cc1)c1n[nH]cc1NC(=O)C1CCCCC1
CHEMBL463580,139.99999999999994,1,O=C(Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1)c1ccccc1
CHEMBL4637085,1110.0,1,COc1cc(/C=C2\Oc3cc4occc4c(OC)c3C2=O)ccc1OCC(=O)Nc1ccccc1
CHEMBL4641226,10.8,1,C=CC(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1
CHEMBL4643057,58.79999999999998,1,C=CC(=O)Nc1cccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)c1
CHEMBL4644434,3.0000000000000004,1,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@@H](O)CO)nc12
CHEMBL4644893,11.000000000000002,1,C=CC(=O)Nc1ccc(C(=O)N2CCCC(C(=O)Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1
CHEMBL4648005,15.699999999999998,1,C=CC(=O)Nc1ccc(NC2CCCC(Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1
CHEMBL4649135,321.0,1,CCn1cnc2c(NCc3nc4ccc(F)c(F)c4[nH]3)nc(N3CCCC[C@H]3CCO)nc21
CHEMBL468963,4.0,1,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1
CHEMBL471790,10000.00000000001,1,COc1cc(N)ccc1-c1ccc2c(-c3nc4c(N5CCN(C)CC5)cccc4[nH]3)n[nH]c2c1
CHEMBL471791,10000.00000000001,1,CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(C(=O)O)cc6)ccc45)nc23)CC1
CHEMBL472148,10000.00000000001,1,CC(=O)c1ccc(-c2ccc3c(-c4nc5c(N6CCN(C)CC6)cccc5[nH]4)n[nH]c3c2)cc1
CHEMBL473631,13.300000000000002,1,CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(O)cc6)ccc45)nc23)CC1
CHEMBL4741442,4.0,1,C[C@H](CO)Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br
CHEMBL4742169,168.90000000000006,1,CC(C)N1c2cc(Nc3nccc(-c4cncc5ccccc45)n3)ccc2N(C)C(=O)[C@H]1C
CHEMBL474433,10000.00000000001,1,CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(CN)cc6)ccc45)nc23)CC1
CHEMBL4744627,124.00000000000003,1,C=CC(=O)N1CCc2cc(S(=O)(=O)N3CCCC(Nc4ncc(SCc5ncc(C(C)(C)C)o5)s4)C3)ccc21
CHEMBL4744850,689.0000000000001,1,CN(C)C/C=C/C(=O)Nc1ccc(S(=O)(=O)N2CCCC(Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1
